name,system,rating,genre,release_date,last_played,image_url
The Legend of Zelda: A Link Between Worlds,Nintendo 3DS,Good,Action-Adventure,2013-11-22,2013-11-22,https://images.igdb.com/igdb/image/upload/t_cover_big/co3p0j.jpg
Animal Crossing New Horizons,Nintendo Switch,Okay,Social Simulation,2020-03-20,2020-03-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co3wls.jpg
Animal Well,Nintendo Switch,Okay,Metroidvania|Puzzle,2024-05-09,2024-05-09,https://images.igdb.com/igdb/image/upload/t_cover_big/co4hdh.jpg
Astro Bot,PS5,Great,Platform|Fighting,2024-09-06,2024-09-06,https://images.igdb.com/igdb/image/upload/t_cover_big/coba3k.jpg
Baldur's Gate 3,PS5,Perfect,RPG,2023-09-06,2023-09-06,https://images.igdb.com/igdb/image/upload/t_cover_big/co670h.jpg
Ball x Pit,Nintendo Switch 2,Good,Roguelike|Brick-Breaking,2025-10-28,2025-10-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co9xid.jpg
Brain Age,Nintendo DS,Okay,Puzzle,2005-05-19,2005-05-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co5p93.jpg
The Legend of Zelda: Breath of the Wild,Nintendo Switch,Perfect,Action-Adventure,2017-03-03,2017-03-03,https://images.igdb.com/igdb/image/upload/t_cover_big/co3p2d.jpg
Cadence of Hyrule,Nintendo Switch,Good,Roguelike|Rhythm,2019-06-13,2019-06-13,https://images.igdb.com/igdb/image/upload/t_cover_big/co1qgt.jpg
Call of Duty Black Ops 2,Xbox 360,Good,First Person Shooter,2012-11-12,2012-11-12,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wkv.jpg
Call of Duty Black Ops 3,PS4,Good,First Person Shooter,2015-11-05,2015-11-05,https://images.igdb.com/igdb/image/upload/t_cover_big/co60bm.jpg
Call of Duty Black Ops,Xbox 360,Great,First Person Shooter,2010-11-09,2010-11-09,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wkl.jpg
Call of Duty Modern Warfare 2,Xbox 360,Great,First Person Shooter,2009-11-10,2009-11-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co3cwt.jpg
Call of Duty Modern Warfare 3,Xbox 360,Okay,First Person Shooter,2011-11-08,2011-11-08,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wkn.jpg
Celeste,Nintendo Switch,Great,Platform,2018-01-24,2018-01-24,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9dh.jpg
Civ 6,Nintendo Switch,Okay,Turn-based Strategy,2016-10-21,2016-10-21,https://images.igdb.com/igdb/image/upload/t_cover_big/coaaqr.jpg
Dave the Diver,Nintendo Switch,Good,Adventure,2023-10-26,2023-10-26,https://images.igdb.com/igdb/image/upload/t_cover_big/coaav7.jpg
Dead Cells,Nintendo Switch,Okay,Roguelike|Metroidvania,2018-08-07,2018-08-07,https://images.igdb.com/igdb/image/upload/t_cover_big/coa3hi.jpg
Dead Island,Xbox 360,Okay,Action RPG|Survival Horror,2011-09-06,2011-09-06,https://images.igdb.com/igdb/image/upload/t_cover_big/co3lym.jpg
Dokapon Kingdom,Nintendo Wii,Great,RPG,2007-11-22,2007-11-22,https://images.igdb.com/igdb/image/upload/t_cover_big/co2ngu.jpg
Donkey Kong Bananza,Nintendo Switch 2,Great,Platform|Action-Adventure,2025-07-17,2025-07-17,https://images.igdb.com/igdb/image/upload/t_cover_big/cobd1q.jpg
Donkey Kong Jungle Beat,Nintendo GameCube,Good,Platform,2004-12-16,2004-12-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co289j.jpg
Elden Ring Nightreign,PS5,Perfect,Action RPG|Roguelike,2025-05-30,2025-05-30,https://images.igdb.com/igdb/image/upload/t_cover_big/co95gk.jpg
Elden Ring,PS5,Perfect,Action RPG,2022-02-25,2022-02-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co4jni.jpg
Expedition 33,PS5,Great,RPG,2025-04-24,2025-04-24,https://images.igdb.com/igdb/image/upload/t_cover_big/co9gam.jpg
F-Zero GX,Nintendo GameCube,Okay,Racing,2003-08-25,2003-08-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co525x.jpg
Final Fantasy Remake,PS5,Good,Action RPG|Adventure,2020-04-10,2020-04-10,https://images.igdb.com/igdb/image/upload/t_cover_big/cobcwt.jpg
Fortnite,PS5,Good,Battle Royale,2017-07-21,2017-07-21,https://images.igdb.com/igdb/image/upload/t_cover_big/coaxt6.jpg
Ghost of Tsushima,PS5,Great,Action-Adventure,2020-07-17,2020-07-17,https://images.igdb.com/igdb/image/upload/t_cover_big/co2crj.jpg
God of War Ragnarok,PS5,Perfect,Action-Adventure,2022-11-09,2022-11-09,https://images.igdb.com/igdb/image/upload/t_cover_big/coba3d.jpg
God of War,PS4,Great,Action-Adventure,2018-04-20,2018-04-20,https://images.igdb.com/igdb/image/upload/t_cover_big/cobkt6.jpg
Golf Story,Nintendo Switch,Good,RPG|Adventure|Sports,2017-09-28,2017-09-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co2q9e.jpg
Guitar Hero 3 Legends of Rock,Nintendo Wii,Good,Rhythm,2007-10-28,2007-10-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wqm.jpg
Hades 2,Nintendo Switch 2,Perfect,Roguelike|Action RPG,2025-09-25,2025-09-25,https://images.igdb.com/igdb/image/upload/t_cover_big/coaknx.jpg
Hades,Nintendo Switch,Great,Roguelike|Action RPG,2018-12-06,2018-12-06,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9kr.jpg
Halo 2,Xbox,Good,First Person Shooter,2004-11-09,2004-11-09,https://images.igdb.com/igdb/image/upload/t_cover_big/co1x77.jpg
Halo 3 ODST,Xbox 360,Good,First Person Shooter,2009-09-22,2009-09-22,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xhh.jpg
Halo 4,Xbox 360,Good,First Person Shooter,2012-11-06,2012-11-06,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xhf.jpg
Halo CE,Xbox,Great,First Person Shooter,2001-11-15,2001-11-15,https://images.igdb.com/igdb/image/upload/t_cover_big/co2r2r.jpg
Halo Reach,Xbox 360,Great,First Person Shooter,2010-09-14,2010-09-14,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xha.jpg
Helldivers 2,PS5,Good,Third-person Shooter,2024-02-08,2024-02-08,https://images.igdb.com/igdb/image/upload/t_cover_big/coabbf.jpg
Hollow Knight,Nintendo Switch,Good,Metroidvania|Fighting,2017-02-24,2017-02-24,https://images.igdb.com/igdb/image/upload/t_cover_big/coaes9.jpg
Horizon Zero Dawn,PS4,Great,Action RPG,2017-02-28,2017-02-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co2una.jpg
It Takes Two,PS5,Great,Action-Adventure|Platform,2021-03-26,2021-03-26,https://images.igdb.com/igdb/image/upload/t_cover_big/cob22v.jpg
Kinect Adventures,Xbox 360,Okay,Adventure|Sports,2010-11-04,2010-11-04,https://images.igdb.com/igdb/image/upload/t_cover_big/co22p6.jpg
Kinect Sports,Xbox 360,Okay,Sports,2010-10-09,2010-10-09,https://images.igdb.com/igdb/image/upload/t_cover_big/co22rp.jpg
Left 4 Dead 2,Xbox 360,Great,First Person Shooter|Survival Horror,2009-11-17,2009-11-17,https://images.igdb.com/igdb/image/upload/t_cover_big/co1y2f.jpg
The Legend of Zelda: Ocarina of Time,Nintendo 64,Great,Action-Adventure,1998-11-21,1998-11-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co3nnx.jpg
